"N", "real", "user", "sys"
10,0.3379999999999996,0.18200000000000122,0.15310000000000118
10,0.33549999999999736,0.16980000000000042,0.15950000000000092
10,0.3183999999999997,0.1629000000000006,0.1479000000000008
10,0.32920000000000016,0.1697000000000006,0.14920000000000092
10,0.32789999999999836,0.1583000000000001,0.15970000000000062
20,0.3263999999999985,0.1812000000000009,0.13870000000000066
20,0.34159999999999696,0.17590000000000047,0.16140000000000074
20,0.3065000000000024,0.17100000000000087,0.13130000000000064
20,0.3320000000000012,0.16909999999999997,0.15780000000000086
20,0.31959999999999905,0.1679000000000003,0.15100000000000088
30,0.3283999999999999,0.18690000000000057,0.13890000000000072
30,0.32929999999999865,0.1825000000000005,0.1417000000000009
30,0.31390000000000157,0.16860000000000058,0.14200000000000085
30,0.3262999999999985,0.18030000000000088,0.14070000000000057
30,0.3130999999999988,0.16800000000000034,0.14060000000000067
40,0.3269999999999996,0.18930000000000108,0.13010000000000063
40,0.3333999999999983,0.18350000000000036,0.14820000000000072
40,0.3182000000000024,0.17070000000000068,0.14020000000000088
40,0.34139999999999665,0.18390000000000098,0.15560000000000093
40,0.30630000000000146,0.17599999999999985,0.13380000000000045
50,0.32640000000000013,0.18550000000000066,0.13590000000000035
50,0.34189999999999776,0.19260000000000038,0.15060000000000046
50,0.3289999999999995,0.19540000000000074,0.1318000000000005
50,0.34199999999999825,0.18690000000000068,0.14880000000000052
50,0.33399999999999835,0.19130000000000044,0.13580000000000075
60,0.3503999999999972,0.20250000000000087,0.14350000000000088
60,0.321300000000001,0.1821000000000008,0.1364000000000007
60,0.3349999999999991,0.18880000000000005,0.1402000000000005
60,0.3265999999999984,0.18060000000000007,0.1305000000000004
60,0.3306999999999993,0.19590000000000074,0.13160000000000038
70,0.3000000000000016,0.17730000000000073,0.11570000000000041
70,0.3235000000000009,0.19340000000000074,0.1265000000000004
70,0.31830000000000025,0.18200000000000013,0.13350000000000073
70,0.32789999999999964,0.18860000000000046,0.13600000000000056
70,0.3257,0.1890000000000002,0.13200000000000062
80,0.3312999999999987,0.19080000000000077,0.13510000000000058
80,0.35569999999999863,0.19660000000000072,0.1414000000000004
80,0.3246999999999985,0.1984000000000004,0.11990000000000049
80,0.3428999999999986,0.19740000000000044,0.13480000000000034
80,0.3273999999999996,0.1934000000000003,0.12790000000000068
90,0.33219999999999944,0.19970000000000107,0.13140000000000043
90,0.3520999999999987,0.196300000000001,0.14570000000000052
90,0.32879999999999915,0.20000000000000037,0.1278000000000004
90,0.32250000000000123,0.19520000000000098,0.12370000000000031
90,0.3245999999999998,0.1920000000000006,0.13040000000000065
100,0.35389999999999716,0.209800000000001,0.13860000000000025
100,0.3627999999999965,0.20980000000000013,0.1418000000000001
100,0.3187000000000011,0.1891000000000003,0.1269000000000004
100,0.3212999999999967,0.19750000000000073,0.1269000000000006
100,0.33829999999999966,0.19960000000000036,0.14510000000000012
200,0.37939999999999635,0.2412999999999994,0.12760000000000016
200,0.3696999999999999,0.21839999999999946,0.12990000000000002
200,0.38780000000000037,0.24339999999999873,0.13079999999999958
200,0.37799999999999906,0.2548999999999994,0.11839999999999985
200,0.3803000000000007,0.2334999999999996,0.13459999999999986
300,0.3915000000000007,0.26780000000000076,0.12119999999999963
300,0.39930000000000043,0.28410000000000063,0.1212999999999996
300,0.39750000000000163,0.26750000000000035,0.12369999999999981
300,0.4083000000000005,0.2727999999999992,0.12779999999999955
300,0.3949999999999988,0.2596999999999996,0.11949999999999972
400,0.38860000000000094,0.2799000000000005,0.10489999999999981
400,0.40380000000000194,0.2732999999999998,0.11849999999999954
400,0.36049999999999954,0.26239999999999847,0.0918999999999998
400,0.3944000000000017,0.2836999999999989,0.10229999999999971
400,0.3845000000000017,0.2707,0.10079999999999976
500,0.4158999999999999,0.3029999999999996,0.1034999999999999
500,0.4042999999999955,0.2891999999999993,0.08989999999999997
500,0.42599999999999805,0.27409999999999957,0.13539999999999996
500,0.3984999999999979,0.3019999999999986,0.09119999999999988
500,0.41939999999999567,0.2919999999999997,0.10349999999999988
600,0.3973999999999964,0.26929999999999843,0.11779999999999992
600,0.4250999999999959,0.3157999999999996,0.10240000000000016
600,0.3908999999999986,0.2865999999999991,0.10059999999999995
600,0.3895999999999978,0.268499999999999,0.09969999999999984
600,0.4259999999999965,0.29959999999999876,0.1137000000000003
700,0.45890000000000647,0.3375000000000011,0.09289999999999983
700,0.4466000000000044,0.3549000000000038,0.08409999999999976
700,0.41819999999999696,0.29739999999999855,0.1181000000000002
700,0.5107000000000069,0.3740000000000007,0.10349999999999983
700,0.4181999999999984,0.3168999999999979,0.09570000000000009
800,0.4668000000000065,0.36210000000000203,0.09109999999999983
800,0.4908000000000009,0.3827000000000038,0.09429999999999973
800,0.4618000000000057,0.35070000000000173,0.09399999999999979
800,0.47870000000000734,0.38000000000000483,0.09469999999999962
800,0.4619000000000028,0.370500000000003,0.08929999999999975
900,0.504600000000001,0.4142000000000028,0.08739999999999967
900,0.47739999999999966,0.3760000000000021,0.0939999999999997
900,0.4673000000000022,0.3751000000000026,0.08609999999999983
900,0.4377000000000051,0.3314999999999992,0.0873999999999998
900,0.47840000000000515,0.369300000000004,0.10339999999999974
1000,0.49250000000000166,0.39180000000000303,0.09819999999999965
1000,0.4985000000000007,0.40590000000000215,0.0815999999999998
1000,0.5137999999999985,0.395800000000004,0.10259999999999979
1000,0.5060000000000008,0.401400000000002,0.08789999999999981
1000,0.5540000000000017,0.4231000000000026,0.11639999999999953
2000,0.6720999999999976,0.5821000000000002,0.08159999999999971
2000,0.6985000000000015,0.6255000000000013,0.0752999999999997
2000,0.6859000000000047,0.6078000000000016,0.08349999999999984
2000,0.6208999999999992,0.5283999999999982,0.08569999999999993
2000,0.6839000000000033,0.6054999999999996,0.07269999999999975
3000,0.8582999999999931,0.773999999999995,0.07249999999999976
3000,0.8116000000000043,0.7088000000000042,0.08949999999999964
3000,0.8744000000000002,0.7762000000000002,0.08709999999999979
3000,0.7574000000000066,0.6688000000000065,0.08499999999999978
3000,0.7203000000000024,0.6286000000000038,0.08529999999999968
4000,0.8467000000000061,0.7648000000000026,0.0763999999999998
4000,0.8336999999999897,0.7416999999999981,0.0698999999999998
4000,0.8757000000000008,0.8014000000000019,0.07519999999999992
4000,1.0216000000000034,0.9227000000000026,0.06829999999999976
4000,1.0021999999999984,0.9228999999999998,0.062399999999999796
5000,1.0003999999999975,0.9140999999999979,0.08359999999999976
5000,1.2376000000000207,1.1546000000000136,0.07789999999999972
5000,1.1788000000000087,1.0977000000000061,0.07999999999999974
5000,1.2463000000000115,1.166700000000011,0.07179999999999975
5000,1.1628000000000007,1.0742000000000052,0.08149999999999982
6000,1.4288000000000125,1.3303000000000051,0.09209999999999982
6000,1.0604000000000047,0.9590000000000022,0.0827999999999997
6000,1.0626000000000042,0.9825000000000051,0.07799999999999985
6000,1.4127999999999978,1.3035999999999923,0.09489999999999973
6000,1.3456999999999826,1.2527999999999875,0.07949999999999967
7000,1.6944000000000004,1.567099999999991,0.09529999999999962
7000,1.419700000000015,1.3092000000000015,0.08979999999999987
7000,1.563299999999989,1.4567999999999948,0.0958999999999997
7000,1.6554999999999942,1.5671999999999888,0.07189999999999977
7000,1.2395000000000174,1.13780000000001,0.09509999999999968
8000,1.91530000000003,1.781300000000006,0.1025999999999996
8000,1.8868000000000122,1.777200000000002,0.09349999999999967
8000,1.8735000000000053,1.7659999999999965,0.09069999999999977
8000,1.9198000000000308,1.8033000000000103,0.10049999999999965
8000,1.386399999999984,1.2706999999999882,0.10869999999999969
9000,1.9382000000000286,1.8328000000000109,0.09789999999999958
9000,1.4763000000000108,1.373900000000004,0.09929999999999993
9000,1.6731000000000027,1.5511999999999941,0.10029999999999971
9000,1.7509000000000134,1.651400000000018,0.10199999999999994
9000,2.1261999999999692,2.012299999999975,0.10659999999999976
10000,1.8161999999999818,1.683299999999996,0.12409999999999982
10000,2.1192999999999644,1.9869999999999832,0.10609999999999996
10000,2.2265000000000135,2.1006000000000116,0.11079999999999968
10000,2.028199999999997,1.9014000000000002,0.11319999999999955
10000,2.0752999999999813,1.949499999999997,0.11469999999999993
11000,2.4379000000000377,2.3271000000000193,0.10980000000000001
11000,2.5478999999999923,2.416399999999999,0.12779999999999966
11000,2.1272999999999653,2.005699999999975,0.11709999999999979
11000,2.276499999999992,2.1412000000000084,0.11839999999999963
11000,2.2784,2.137600000000015,0.12149999999999969
12000,2.35940000000001,2.208199999999997,0.14169999999999988
12000,2.64349999999996,2.5215999999999767,0.1157999999999996
12000,1.83179999999998,1.700499999999985,0.12439999999999966
12000,1.8248999999999722,1.7084999999999833,0.11379999999999973
12000,2.267500000000001,2.149400000000013,0.10179999999999967
13000,2.9455000000000395,2.817700000000017,0.1236999999999997
13000,2.4300000000000397,2.2863000000000206,0.13409999999999997
13000,2.652099999999962,2.5235999999999765,0.12079999999999957
13000,2.796300000000009,2.6444000000000107,0.13510000000000003
13000,2.94830000000004,2.817500000000016,0.12799999999999967
14000,2.9442000000000417,2.8038000000000136,0.13299999999999967
14000,3.3092000000000192,3.1396000000000095,0.13589999999999977
14000,2.074699999999979,1.9307999999999967,0.13610000000000005
14000,3.158899999999958,3.02439999999998,0.13169999999999982
14000,2.229600000000014,2.0871000000000204,0.13679999999999978
15000,3.358100000000044,3.197400000000021,0.15400000000000008
15000,3.037899999999994,2.8696999999999866,0.14530000000000004
15000,3.039399999999995,2.881999999999994,0.12039999999999963
15000,2.7369999999999823,2.5806000000000022,0.13649999999999998
15000,3.2640999999999845,3.114299999999998,0.1438
16000,3.5474999999999897,3.389399999999986,0.15059999999999993
16000,2.534299999999994,2.3860999999999972,0.1423
16000,2.8350000000000253,2.666200000000007,0.14179999999999998
16000,3.370100000000051,3.2106000000000234,0.14800000000000002
16000,3.3544000000000476,3.202600000000025,0.14589999999999984
17000,3.982200000000036,3.831500000000009,0.1444
17000,4.05509999999999,3.889999999999983,0.14079999999999987
17000,3.97280000000004,3.8107000000000113,0.15500000000000036
17000,3.681099999999951,3.5310999999999844,0.14009999999999992
17000,2.8394000000000257,2.66300000000001,0.16580000000000036
18000,4.153899999999948,3.9765999999999684,0.1563000000000001
18000,3.445900000000046,3.2720000000000202,0.15970000000000015
18000,3.1453999999999493,2.9795999999999747,0.16340000000000046
18000,2.6314999999999564,2.463099999999978,0.14169999999999985
18000,4.1466999999999485,3.9429999999999734,0.1659000000000004
19000,3.9326000000000487,3.7267000000000228,0.1676000000000004
19000,4.377600000000061,4.1957000000000315,0.17500000000000027
19000,3.1429999999999496,2.9729999999999728,0.1639000000000005
19000,4.376800000000065,4.201900000000035,0.16760000000000042
19000,3.9486000000000523,3.7379000000000184,0.18150000000000055
20000,4.650899999999982,4.424799999999974,0.18680000000000055
20000,4.667499999999981,4.487099999999993,0.16930000000000028
20000,4.5988999999999916,4.421499999999977,0.16610000000000033
20000,3.071399999999982,2.8758999999999926,0.19370000000000068
20000,3.573899999999985,3.3886999999999805,0.18150000000000063
21000,4.573299999999991,4.373299999999979,0.19530000000000075
21000,3.886600000000052,3.691500000000022,0.18440000000000076
21000,4.99389999999999,4.821499999999999,0.16880000000000048
21000,4.5685999999999884,4.390599999999983,0.17230000000000045
21000,4.937200000000015,4.726500000000021,0.17880000000000065
22000,4.450700000000023,4.2271000000000205,0.19950000000000068
22000,3.9512000000000485,3.743100000000017,0.1840000000000005
22000,4.7361999999999576,4.514600000000005,0.19020000000000076
22000,4.875300000000068,4.693300000000031,0.17980000000000051
22000,4.564099999999994,4.368199999999981,0.18470000000000084
23000,5.371600000000072,5.161100000000033,0.18550000000000033
23000,4.7877999999999625,4.592499999999981,0.19000000000000075
23000,4.275899999999952,4.091199999999986,0.18090000000000062
23000,4.658999999999988,4.44359999999998,0.19050000000000075
23000,5.196500000000003,5.003200000000025,0.19410000000000066
24000,5.6815000000000335,5.469000000000019,0.19980000000000078
24000,5.478699999999966,5.265099999999977,0.19800000000000065
24000,5.470399999999974,5.230899999999988,0.20830000000000073
24000,5.676100000000031,5.462200000000007,0.19040000000000076
24000,3.452000000000044,3.2516000000000114,0.196800000000001
25000,5.005999999999992,4.7943,0.20150000000000096
25000,4.941500000000013,4.70980000000001,0.20320000000000107
25000,5.600500000000003,5.400799999999972,0.1983000000000011
25000,5.49959999999998,5.290999999999993,0.2038000000000006
25000,5.37360000000007,5.13540000000003,0.21820000000000095
26000,5.8992000000000555,5.69380000000003,0.20320000000000063
26000,3.7655999999999676,3.5336999999999965,0.23750000000000096
26000,5.5495999999999945,5.2983000000000064,0.22620000000000104
26000,5.977099999999946,5.737499999999986,0.21120000000000083
26000,5.899600000000062,5.680000000000031,0.21900000000000092
27000,6.297399999999928,6.062499999999966,0.2258000000000008
27000,6.354600000000031,6.109099999999969,0.21330000000000102
27000,4.31020000000001,4.076800000000002,0.21630000000000088
