"N", "real", "user", "sys"
10,0.32389999999999836,0.16490000000000044,0.15300000000000086
10,0.3478000000000001,0.16510000000000058,0.1577000000000007
10,0.31059999999999977,0.15639999999999996,0.13230000000000042
10,0.31420000000000115,0.1492,0.1464000000000003
10,0.3396999999999998,0.15890000000000007,0.15790000000000082
20,0.31859999999999844,0.1427,0.15530000000000072
20,0.3104000000000004,0.15099999999999986,0.1414000000000004
20,0.3344999999999982,0.14910000000000037,0.16100000000000073
20,0.33549999999999774,0.15530000000000027,0.1586000000000006
20,0.3268999999999973,0.15660000000000052,0.15100000000000074
30,0.3250999999999984,0.16670000000000035,0.15130000000000057
30,0.32600000000000035,0.15850000000000006,0.1518000000000005
30,0.33169999999999933,0.15419999999999998,0.1561000000000006
30,0.3295999999999984,0.15559999999999993,0.15400000000000078
30,0.3203000000000001,0.15910000000000019,0.1416000000000006
40,0.33569999999999844,0.17040000000000066,0.1597000000000007
40,0.32319999999999977,0.15790000000000046,0.14810000000000087
40,0.3221999999999995,0.15320000000000025,0.14910000000000076
40,0.33699999999999836,0.15510000000000024,0.1618000000000008
40,0.32189999999999974,0.16109999999999983,0.14230000000000056
50,0.3351999999999996,0.15850000000000053,0.15610000000000068
50,0.3308999999999973,0.15560000000000054,0.16210000000000072
50,0.3134000000000009,0.15240000000000034,0.14300000000000054
50,0.32020000000000076,0.15810000000000024,0.14810000000000065
50,0.3292999999999991,0.16040000000000051,0.1536000000000007
60,0.30750000000000066,0.16000000000000028,0.15200000000000052
60,0.339999999999998,0.15950000000000022,0.1595000000000008
60,0.3454999999999972,0.15700000000000042,0.17360000000000114
60,0.32410000000000005,0.1516,0.15410000000000104
60,0.3192000000000016,0.15680000000000013,0.15060000000000032
70,0.32010000000000016,0.1696,0.14900000000000066
70,0.32189999999999974,0.15080000000000024,0.16020000000000106
70,0.3295999999999988,0.15030000000000052,0.161800000000001
70,0.3078999999999997,0.1751000000000002,0.13260000000000047
70,0.32760000000000045,0.1586000000000002,0.1494000000000006
80,0.33479999999999843,0.15960000000000046,0.16010000000000088
80,0.32059999999999866,0.17250000000000051,0.1538000000000006
80,0.3373999999999985,0.15580000000000022,0.16690000000000094
80,0.3255999999999991,0.16489999999999988,0.14610000000000065
80,0.3409999999999988,0.16220000000000065,0.16540000000000102
90,0.3371999999999981,0.16400000000000026,0.16230000000000083
90,0.30320000000000047,0.15440000000000018,0.13470000000000043
90,0.3241999999999994,0.1536999999999998,0.15680000000000058
90,0.32569999999999766,0.1632000000000003,0.14780000000000054
90,0.3208999999999999,0.1597000000000003,0.14560000000000048
100,0.32259999999999983,0.15439999999999987,0.15230000000000044
100,0.3345999999999976,0.16530000000000036,0.15580000000000077
100,0.3224000000000007,0.15420000000000023,0.1551000000000008
100,0.33029999999999893,0.15779999999999977,0.1590000000000009
100,0.3172999999999972,0.15690000000000026,0.14950000000000072
200,0.3150999999999996,0.1681000000000001,0.14120000000000066
200,0.3292999999999986,0.16990000000000047,0.14930000000000074
200,0.3125999999999996,0.16790000000000058,0.14250000000000032
200,0.3342999999999989,0.1720000000000004,0.15750000000000072
200,0.3258000000000003,0.16860000000000078,0.15390000000000087
300,0.32789999999999764,0.16580000000000053,0.1586000000000008
300,0.3320999999999986,0.17780000000000068,0.15010000000000076
300,0.34609999999999774,0.18440000000000117,0.15870000000000103
300,0.33229999999999776,0.17600000000000066,0.1528000000000007
300,0.3258999999999986,0.18140000000000048,0.14030000000000048
400,0.31430000000000013,0.18170000000000072,0.13720000000000043
400,0.31559999999999966,0.17590000000000042,0.1386000000000007
400,0.3176999999999982,0.17789999999999992,0.13720000000000043
400,0.3053000000000006,0.15890000000000035,0.14210000000000053
400,0.3245000000000014,0.17560000000000078,0.1483000000000009
500,0.3317999999999996,0.1686000000000004,0.1589000000000006
500,0.3292999999999983,0.1918000000000008,0.14730000000000049
500,0.32179999999999953,0.16640000000000024,0.14870000000000072
500,0.3205000000000002,0.17629999999999973,0.15820000000000045
500,0.33609999999999823,0.16510000000000033,0.16320000000000076
600,0.33659999999999857,0.18230000000000085,0.15370000000000075
600,0.32520000000000016,0.1719000000000007,0.1458000000000007
600,0.32949999999999846,0.18790000000000065,0.13940000000000077
600,0.3305999999999973,0.18720000000000075,0.1387000000000008
600,0.3202000000000003,0.17550000000000096,0.14010000000000064
700,0.34019999999999917,0.19160000000000033,0.14190000000000047
700,0.31690000000000096,0.18010000000000057,0.13830000000000056
700,0.3402999999999974,0.1856000000000004,0.1509000000000008
700,0.32450000000000034,0.18370000000000083,0.1390000000000006
700,0.32239999999999813,0.17700000000000043,0.14180000000000068
800,0.33009999999999995,0.18970000000000029,0.1488000000000001
800,0.32939999999999875,0.17610000000000056,0.14750000000000063
800,0.3247000000000008,0.18160000000000096,0.14120000000000052
800,0.328799999999998,0.1869000000000009,0.14130000000000076
800,0.31810000000000166,0.1785000000000007,0.13550000000000045
900,0.3317999999999969,0.19600000000000037,0.12920000000000068
900,0.3078000000000003,0.17600000000000007,0.1274000000000005
900,0.33969999999999706,0.1915000000000009,0.14720000000000066
900,0.3169000000000012,0.1847000000000007,0.1303000000000004
900,0.33339999999999725,0.19740000000000096,0.13180000000000067
1000,0.34849999999999626,0.1905000000000005,0.14800000000000024
1000,0.32229999999999837,0.19020000000000073,0.12410000000000065
1000,0.3294000000000011,0.19450000000000067,0.13090000000000038
1000,0.3216999999999988,0.17790000000000034,0.14120000000000069
1000,0.35699999999999565,0.19940000000000063,0.14870000000000044
2000,0.3728000000000007,0.20840000000000056,0.14039999999999997
2000,0.4030999999999976,0.22010000000000052,0.14860000000000032
2000,0.39020000000000177,0.21120000000000083,0.14960000000000004
2000,0.3685999999999997,0.1985,0.14640000000000009
2000,0.3891000000000002,0.20610000000000048,0.15710000000000024
3000,0.35919999999999863,0.22509999999999952,0.13079999999999975
3000,0.3931999999999982,0.23849999999999927,0.14160000000000028
3000,0.36189999999999983,0.22189999999999885,0.1287999999999998
3000,0.39679999999999976,0.23849999999999982,0.1414999999999998
3000,0.3793000000000007,0.2332999999999993,0.1376999999999998
4000,0.36529999999999946,0.24520000000000008,0.11629999999999976
4000,0.36769999999999997,0.24689999999999948,0.11939999999999976
4000,0.37499999999999967,0.24990000000000015,0.1215999999999998
4000,0.36500000000000066,0.24420000000000072,0.11729999999999982
4000,0.3714999999999991,0.24330000000000035,0.11749999999999981
5000,0.40429999999999816,0.26250000000000007,0.13379999999999978
5000,0.3889000000000008,0.25910000000000044,0.11889999999999959
5000,0.3910000000000008,0.2632999999999999,0.11599999999999966
5000,0.37280000000000024,0.24929999999999933,0.11049999999999974
5000,0.3918999999999996,0.2781999999999993,0.11409999999999977
6000,0.38519999999999865,0.2744000000000003,0.1083999999999998
6000,0.3879999999999974,0.2596000000000006,0.1288999999999997
6000,0.3794000000000002,0.2651000000000006,0.11469999999999961
6000,0.4046000000000019,0.27239999999999975,0.12449999999999947
6000,0.4008000000000016,0.28030000000000016,0.11519999999999951
7000,0.3953000000000013,0.2788999999999999,0.10919999999999962
7000,0.38470000000000204,0.27629999999999977,0.10129999999999979
7000,0.3899000000000003,0.2636999999999997,0.11699999999999962
7000,0.3988000000000021,0.28469999999999995,0.10809999999999972
7000,0.3944000000000013,0.2765999999999998,0.11209999999999967
8000,0.39880000000000104,0.290199999999999,0.10009999999999977
8000,0.36149999999999916,0.2632999999999994,0.09389999999999979
8000,0.39009999999999834,0.28179999999999916,0.1052999999999997
8000,0.3985999999999999,0.28799999999999887,0.0981999999999998
8000,0.3898999999999974,0.2850999999999986,0.09889999999999989
9000,0.40789999999999943,0.29719999999999996,0.09849999999999984
9000,0.4083999999999985,0.2967999999999999,0.09670000000000001
